# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.050      4.802      2.078
   20000      0.028      9.909      4.024
   30000      0.027     14.759      5.900
   40000      0.027     18.895      7.901
   50000      0.027     23.542      9.815
   60000      0.026     28.308     11.833
   70000      0.033     32.885     14.461
   80000      0.029     38.076     16.030
   90000      0.027     42.566     17.716
  100000      0.026     46.986     19.788
